8001,Grommet Builders,Local,"788 30th St., SE, Calgary",Fred,934-565-1981
8002,Pong Works,Local,"749 Dufferin Blvd., SE, Calgary",Bart,647-476-0434
8003,Wiley Inc.,Local,"26 40th St., SE, Calgary",BillyBob,983-772-5311
8004,Winork Manufacturing Inc.,Local,"156 51st Ave., SE, Calgary",Marty,782-426-7983
8005,Grab Bag Inc.,Local,"138 42nd Ave., NE, Calgary",Monty,603-446-3845
8006,Paddy's Manufacturing,Local,"311 McCall Way, NE, Calgary",Barney,800-360-9164
8007,Smickles Industries,Local,"966 Smed Lane, SE, Calgary",Lisa,980-913-4843
8008,Thangs Inc.,Local,"879 37th Ave., NE, Calgary",Thelma,872-698-5788
8009,Flip Works Inc.,Local,"472 Ogden Dale Rd., SE, Calgary",Rory,520-478-4928
8010,Irkle Industries,Local,"754 Sunridge Way, NE, Calgary",Irma,512-303-5715
8011,Biff Builders,International,"690 19th St., NE, Houston",Borjn,505-711-1047
8012,Twinkles Inc.,International,"318 29th St.,NE, New York",Barkley,522-850-2979
8013,Piddles Industries,International,"238 112th Ave., NE, Paris",Parnell,599-207-5651
8014,Tic Tac Manufacturing,International,"598 Palmer Rd., NE, Muscat",Teisha,765-866-5275
8015,Knock Knock Inc.,International,"363 42nd Ave., NE,  Tokyo",Ned,560-998-5142
8016,Corky Things Inc.,International,"35 McCall Way, NE, Ibiza",Corrine,982-355-4315
8017,E & O Industries,International,"883 44th St., SE, Los Angeles",Stan,257-926-1498
8018,Fiddleys Makes Stuff Inc.,International,"350 27th St., NE, Boston",Fredda,884-559-5864
8019,Horks and Stuff Manufacturing,International,"997 42nd Ave., NE, Sydney",Harold,954-818-4637
8020,Wings Works,International,"754 48th St., SE, London",Wing,366-987-6499
